SALESREP_ID,FIRST_NAME,LAST_NAME,NATIONALITY,NATIONAL_ID,PHONE_NUMBER,AGE,SEX,TERRITORY,EMAIL_ADDRESS,MANAGER_ID
SC199,Tammi,Turner,FR,837-421-923,608-394-6279,57,F,SouthCentral,Tammi_Turner@abcxyzentertainment.com,MA0021
SC256,Florrie,Gibson,UK,632-302-851,607-301-1712,62,F,SouthCentral,Florrie_Gibson@abcxyzentertainment.com,MA0021
SC259,Nita,Little,FR,606-735-647,765-196-1399,28,F,SouthCentral,Nita_Little@abcxyzentertainment.com,MA0021
SC262,Conrad,Wilson,IT,749-414-397,727-216-9982,57,M,SouthCentral,Conrad_Wilson@abcxyzentertainment.com,MA0021
SC322,Adan,Valentine,FR,501-916-401,989-457-5751,62,M,SouthCentral,Adan_Valentine@abcxyzentertainment.com,MA0021
SC325,Rosa,Newman,US,113-743-369,738-126-4234,28,F,SouthCentral,Rosa_Newman@abcxyzentertainment.com,MA0021
SC328,Ora,Stevens,US,249-490-158,668-691-2854,57,F,SouthCentral,Ora_Stevens@abcxyzentertainment.com,MA0021
SC388,Julie,Kennedy,FR,780-966-478,436-985-9697,62,F,SouthCentral,Julie_Kennedy@abcxyzentertainment.com,MA0021
SC391,Ivonne,Bailey,IT,422-581-758,515-530-2899,28,M,SouthCentral,Ivonne_Bailey@abcxyzentertainment.com,MA0021
SC394,Ken,Owens,FR,221-316-359,968-251-3660,57,M,SouthCentral,Ken_Owens@abcxyzentertainment.com,MA0021
SE133,Amy,Thompson,IT,845-184-238,243-717-8900,42,F,SouthEast,Amy_Thompson@abcxyzentertainment.com,MA0001
SE136,Clint,Ellison,CA,344-796-714,777-356-6761,29,M,SouthEast,Clint_Ellison@abcxyzentertainment.com,MA0001
SE139,Melany,Powell,UK,361-169-274,921-706-8376,67,F,SouthEast,Melany_Powell@abcxyzentertainment.com,MA0001
SE205,Nannie,Orson,US,766-993-826,332-437-2203,29,F,SouthEast,Nannie_Orson@abcxyzentertainment.com,MA0001
SE208,Lyndon,Harris,US,654-177-913,422-722-6788,67,M,SouthEast,Lyndon_Harris@abcxyzentertainment.com,MA0001
SE265,Dale,Murphy,UK,749-376-665,696-940-6964,42,M,SouthEast,Dale_Murphy@abcxyzentertainment.com,MA0001
SE268,Oliver,Leonard,ES,448-573-904,764-459-5358,29,M,SouthEast,Oliver_Leonard@abcxyzentertainment.com,MA0001
SE271,Lauryn,Iverson,ES,954-864-101,325-997-4909,67,F,SouthEast,Lauryn_Iverson@abcxyzentertainment.com,MA0001
SE334,Krishna,Scott,UK,648-177-448,613-198-1340,29,F,SouthEast,Krishna_Scott@abcxyzentertainment.com,MA0001
SE337,Nathanel,Hawk,IT,111-128-943,433-971-3885,67,M,SouthEast,Nathanel_Hawk@abcxyzentertainment.com,MA0001
SE397,Aleida,DeJesus,IT,912-503-378,569-132-4505,42,F,SouthEast,Aleida_DeJesus@abcxyzentertainment.com,MA0001
SE400,Delmy,Martinez,ES,576-515-596,388-388-8101,29,M,SouthEast,Delmy_Martinez@abcxyzentertainment.com,MA0001
SE403,Carl,Walton,CA,211-910-843,919-617-9035,67,M,SouthEast,Carl_Walton@abcxyzentertainment.com,MA0001
SW142,Gretchen,Cuccini,IT,224-679-471,118-236-6604,25,F,SouthWest,Gretchen_Cuccini@abcxyzentertainment.com,MA0040
SW145,Anh,Russo,IT,191-795-470,701-840-8683,74,M,SouthWest,Anh_Russo@abcxyzentertainment.com,MA0040
SW148,Myrtis,Bianchi,IT,312-915-501,473-471-5442,37,M,SouthWest,Myrtis_Bianchi@abcxyzentertainment.com,MA0040
SW211,Stevie,Romano,IT,775-617-725,335-106-5445,25,M,SouthWest,Stevie_Romano@abcxyzentertainment.com,MA0040
SW214,Frank,York,UK,867-470-614,597-894-9981,41,M,SouthWest,Frank_York@abcxyzentertainment.com,MA0040
SW217,Ara,Xander,FR,645-803-408,764-720-6575,84,M,SouthWest,Ara_Xander@abcxyzentertainment.com,MA0040
SW274,Mozella,Wright,CA,929-502-415,459-558-3406,25,M,SouthWest,Mozella_Wright@abcxyzentertainment.com,MA0040
SW277,Frankie,Fuller,IT,542-622-113,164-535-8185,41,M,SouthWest,Frankie_Fuller@abcxyzentertainment.com,MA0040
SW280,Nathalie,Costa,IT,261-573-625,704-507-5244,37,F,SouthWest,Nathalie_Costa@abcxyzentertainment.com,MA0040
SW340,Rodolfo,Johnson,ES,459-423-312,131-482-7053,25,M,SouthWest,Rodolfo_Johnson@abcxyzentertainment.com,MA0040
SW343,Layne,Perez,ES,186-175-254,546-630-6861,41,M,SouthWest,Layne_Perez@abcxyzentertainment.com,MA0040
SW346,Joni,Giffin,CA,392-136-361,511-852-7035,37,F,SouthWest,Joni_Giffin@abcxyzentertainment.com,MA0040
SW406,Ina,Oliver,US,913-356-843,446-333-8358,25,F,SouthWest,Ina_Oliver@abcxyzentertainment.com,MA0040
SW409,Denna,Lavigne,FR,339-653-315,431-568-9450,41,F,SouthWest,Denna_Lavigne@abcxyzentertainment.com,MA0040
SW412,Ermilinda,Baker,US,861-819-749,173-790-7370,37,F,SouthWest,Ermilinda_Baker@abcxyzentertainment.com,MA0040
WE151,Leana,Hoffman,FR,558-947-717,471-246-2534,24,F,West,Leana_Hoffman@abcxyzentertainment.com,MA0301
WE154,Heike,Dupont,CA,226-429-972,688-784-6637,79,M,West,Heike_Dupont@abcxyzentertainment.com,MA0301
WE157,Jerry,Mancini,IT,385-329-458,340-506-5655,19,M,West,Jerry_Mancini@abcxyzentertainment.com,MA0301
WE220,Jasmine,Dawson,ES,728-589-848,692-714-6930,65,F,West,Jasmine_Dawson@abcxyzentertainment.com,MA0301
WE223,Shelton,Porter,UK,505-673-311,845-679-3051,79,M,West,Shelton_Porter@abcxyzentertainment.com,MA0301
WE283,Tommy,Moulin,CA,284-197-273,208-928-9277,24,M,West,Tommy_Moulin@abcxyzentertainment.com,MA0301
WE286,Moshe,Giordano,IT,680-525-707,856-840-1685,79,M,West,Moshe_Giordano@abcxyzentertainment.com,MA0301
WE289,Jolanda,Emerson,IT,442-299-933,200-633-3596,19,F,West,Jolanda_Emerson@abcxyzentertainment.com,MA0301
WE349,Nichelle,Garnier,FR,528-293-359,746-568-4746,24,F,West,Nichelle_Garnier@abcxyzentertainment.com,MA0301
WE352,Andrea,Quinlan,IT,894-711-587,961-834-5390,79,F,West,Andrea_Quinlan@abcxyzentertainment.com,MA0301
WE355,Elane,Patterson,US,851-613-458,406-630-1559,19,F,West,Elane_Patterson@abcxyzentertainment.com,MA0301
WE415,Mistie,Gardner,CA,124-525-707,614-568-4746,24,F,West,Mistie_Gardner@abcxyzentertainment.com,MA0301
WE418,Carey,Allen,FR,067-299-933,446-834-5390,79,F,West,Carey_Allen@abcxyzentertainment.com,MA0301
WE421,Kathey,Collins,IT,099-293-359,607-630-1559,19,F,West,Kathey_Collins@abcxyzentertainment.com,MA0301
