CUST_ID,CUSTNAME,CITY,STATE,COUNTRY_CODE,POSTAL_CODE,EMAIL_ADDRESS,PHONE_NUMBER,YTD_SALES,SALESREP_ID,NATIONALITY,NATIONAL_ID,CREDITCARD_NUMBER,CREDITCARD_TYPE,CREDITCARD_EXP,CREDITCARD_CVV
10022,Jonathan Joiner,Agnano,NA,IT,80125,Jonathan.T.joiner@spambob.com,837-197-8450,5320.86,WE355,ES,122-887-358,2510627319564790,Discover,11-24,834
10024,Earl Severson,Dallas,TX,US,78380,Earl.J.severson@mailinator.com,151-621-3826,2550,SC388,UK,298-314-268,4604754345234500,VISA,11-24,7163
10025,Manuel Wade,Aielli,AQ,IT,67041,Manuel.E.wade@trashymail.com,813-785-4282,298.83,NE175,ES,702-324-175,3932238620625170,Master Card,11-24,3598
10026,Kelly Williams,Aiello Calabro,CS,IT,87031,Kelly.N.williams@pookmail.com,889-609-7513,5869.4,NW184,IT,498-582-148,5981966591560950,American Express,11-24,1760
10027,Melvin Garcia,Aigues,,ES,3569,Melvin.B.garcia@dodgeit.com,150-561-4009,304,SW409,IT,301-901-563,4346769162688600,VISA,11-24,9166
10028,Michele Brown,Aix-en-provence,,FR,13090,Michele.J.brown@spambob.com,541-446-6560,904.86,NE235,ES,455-115-197,4423726031226630,Discover,11-24,6086
10031,John Cohen,Akron,OH,US,44311,John.D.cohen@trashymail.com,159-448-5428,492,SW274,IT,597-332-842,4609483212986000,American Express,11-24,4216
10032,Kimberly Sullivan,Ala Di Stura,TO,IT,10070,Kimberly.J.sullivan@trashymail.com,249-698-7603,568.3,SC325,U.S.,637-124-142,4737437275803280,American Express,11-24,9597
10033,Stanley Fowler,Alagna Lomellina,PV,IT,27020,Stanley.L.fowler@spambob.com,617-962-8742,6000.28,SW280,CA,481-584-509,4863959782573980,American Express,11-24,2663
10034,Stephanie Bruner,Alassio,SV,IT,17021,Stephanie.R.bruner@dodgeit.com,417-116-3246,6000.28,SE265,IT,971-616-212,4136081144320500,VISA,11-24,9293
10035,Muriel Middleton,Alba Di Canazei,TN,IT,38030,Muriel.J.middleton@trashymail.com,475-611-7128,18735.7,SW412,FR,423-436-753,4612105117207260,Discover,11-24,3857
10036,Jo Delacruz,Albanella,SA,IT,84044,Jo.E.delacruz@mailinator.com,371-417-8816,853.3,SE205,ES,667-561-377,4192160872945320,American Express,11-24,23
10037,Dana Sanders,New York,NY,US,12210,Dana.M.sanders@spambob.com,278-220-2767,492,NE373,U.S.,293-802-860,4229573493373270,American Express,11-24,2218
10038,John Herring,Atlanta,GA,US,31707,John.N.herring@mailinator.com,473-751-6076,486,WE223,FR,165-567-664,4196827661644820,American Express,11-24,2187
10039,James Hayes,Nyack,NY,US,12204,James.O.hayes@pookmail.com,979-977-5433,904.86,NW247,IT,675-319-762,4304881673647060,Master Card,11-24,6641
10040,Stephen Murillo,Savannah,GA,US,31707,Stephen.B.murillo@trashymail.com,379-218-5577,853.3,WE286,CA,539-546-560,4771884933036940,Diners Club,11-24,9036
10041,Mary Bourland,Albany,NY,US,12207,Mary.H.bourland@mailinator.com,247-893-3910,18735.7,NE238,UK,593-567-916,4649578000161890,Diners Club,11-24,2293
10042,Carrol Gibson,Boston,MA,US,2110,Carrol.K.gibson@pookmail.com,882-839-3709,673,NW181,ES,288-762-408,4211221983369870,American Express,12-24,5933
10044,Esperanza Pardo,Alberton,SA,AU,5014,Esperanza.C.pardo@trashymail.com,966-771-5050,18735.7,SE403,IT,943-254-707,4857332900490040,Discover,12-24,5443
10046,Sharon Tourner,Albignasego,PD,IT,35020,Sharon.M.tourner@spambob.com,574-739-9136,90.3,NE370,ES,859-839-707,4772660443356560,Diners Club,12-24,5142
10047,Calvin Moore,Albosaggia,SO,IT,23100,Calvin.M.moore@spambob.com,798-357-1868,0,NE373,IT,307-239-695,4363271821447960,VISA,12-24,4199
10048,Amy Meyers,Albuquerque,NM,US,87107,Amy.B.Lmeyers@trashymail.com,408-623-4161,298.83,WE352,U.S.,866-332-302,4144764387410430,American Express,12-24,688
10049,Zachary Locke,Taos,NM,US,87109,Zachary.M.locke@mailinator.com,753-484-3836,304,SW145,IT,970-485-190,4522966707028590,American Express,12-24,2707
10050,Linda Games,Sante Fe,NM,US,87114,Linda.D.games@dodgeit.com,765-285-3572,1820.08,SW277,IT,472-691-684,4433432215811110,American Express,12-24,2005
10051,Alfonso Betts,Taos,NM,US,87109,Alfonso.K.betts@pookmail.com,553-715-8233,52,WE418,FR,439-589-844,4218453605586410,American Express,12-24,9492
10052,James Smith,Albury,NSW,AU,2640,James.E.Smith@dodgeit.com,925-845-6235,0,NW112,IT,998-599-243,4610839404267420,American Express,12-24,6953
10053,Vanessa Fullilove,ALBY HILL,,UK,NR11 3FT,Vanessa.P.fullilove@pookmail.com,229-942-5028,352,SW340,ES,930-619-152,4858932303792670,American Express,12-24,7766
10054,Jackie Carter,Alcala de Xivert,,ES,12570,Jackie.D.carter@dodgeit.com,988-573-3564,6000.28,SW214,FR,382-318-359,4821842283721980,American Express,12-24,4957
10055,Reda Shamblin,Alcalali,,ES,3728,Reda.J.shamblin@dodgeit.com,978-356-7140,180.3,SE205,IT,381-279-761,4551679378818800,Diners Club,12-24,6744
10056,Violet Frazier,Alcazar de San Juan,,ES,13600,Violet.C.frazier@dodgeit.com,432-764-8785,505,SE208,CA,889-698-144,4596641122882100,VISA,12-24,3244
10057,Marjorie Young,Aldaia,,ES,46960,Marjorie.L.young@dodgeit.com,608-394-6279,5869.4,SC322,ES,837-421-923,4721066464849700,American Express,12-24,7463
10059,Cecil Cyr,Aldearrubia,,ES,37340,Cecil.A.cyr@trashymail.com,607-301-1712,290.48,WE421,FR,632-302-851,4263834305641960,VISA,12-24,4531
10060,Chad Young,Aldersyde,WA,AU,6306,Chad.S.young@dodgeit.com,765-196-1399,1782.03,RP385,FR,606-735-647,4662254616672260,American Express,12-24,1367
10061,Terrell Langan,Alexandra,QLD,AU,4740,Terrell.C.langan@dodgeit.com,727-216-9982,904.86,SC391,CA,749-414-397,4414562801051270,American Express,12-24,8017
10062,Clifford Cook,Alexandria,VA,US,22306,Clifford.D.cook@dodgeit.com,989-457-5751,5869.4,NC232,ES,501-916-401,4610661737839240,American Express,12-24,1135
10392,Maggie Shupe,Waltham,MA,US,2215,Maggie.B.shupe@spambob.com,738-126-4234,492,NE172,IT,113-743-369,4936179519737900,VISA,12-24,2370
10063,Edward Roussel,New Orleans,LA,US,71301,Edward.C.roussel@mailinator.com,668-691-2854,5000.9,WE154,FR,249-490-158,4702897796551000,Diners Club,12-24,8236
10064,Karin Carrillo,Alexandria,LA,US,71301,Karin.D.carrillo@dodgeit.com,436-985-9697,90.3,RP319,U.S.,780-966-478,4832734302894900,American Express,12-24,9359
10065,Charlene Brewer,Alfianello,BS,IT,25020,Charlene.D.brewer@spambob.com,515-530-2899,152,SE208,UK,422-581-758,4712682131279660,American Express,12-24,8896
10066,Brandon Austin,Alfiano Natta,AL,IT,15021,Brandon.S.austin@spambob.com,968-251-3660,0,RP385,CA,221-316-359,4314242274225210,VISA,12-24,9952
10069,Roy Gillespie,Los Angeles,CA,US,91801,Roy.L.gillespie@pookmail.com,243-717-8900,2550,SE139,U.S.,845-184-238,4879872306651710,Diners Club,12-24,2885
10070,Cheryl Moyle,San Francisco,CA,US,91801,Cheryl.T.moyle@spambob.com,777-356-6761,298.83,SE139,ES,344-796-714,4217461319563200,Diners Club,12-24,5283
10072,Shirley Dunn,Oakland,CA,US,92656,Shirley.C.dunn@spambob.com,921-706-8376,52,SW343,FR,361-169-274,4597638040469580,American Express,12-24,538
10073,Arturo Brownlee,ALL STRETTON,,UK,SY6 7XJ,Arturo.B.brownlee@pookmail.com,332-437-2203,304,WE415,UK,766-993-826,4807709488830250,Discover,12-24,6391
10074,Barbara Lugo,Allen,TX,US,75002,Barbara.J.lugo@spambob.com,422-722-6788,1820.08,NC166,FR,654-177-913,4613872507474710,Discover,12-24,1745
10075,Rafael Exley,Baltimore,MD,US,20222,Rafael.G.exley@spambob.com,696-940-6964,352,SC262,U.S.,749-376-665,4320118761887590,American Express,12-24,801
10077,Dawn Greenawalt,Allentown,PA,US,18109,Dawn.R.greenawalt@dodgeit.com,764-459-5358,5231,SW343,IT,448-573-904,4045534028556820,Discover,12-24,4634
10078,Betsy Scott,ALLTNACAILLICH,,UK,IV27 5BW,Betsy.P.scott@mailinator.com,325-997-4909,904.86,NE373,ES,954-864-101,4941932478302940,Diners Club,12-24,6780
10079,Earl Rutherford,Alma,QC,CA,G8B 2W5,Earl.M.rutherford@pookmail.com,613-198-1340,1782.03,NE172,ES,648-177-448,4251929708807010,American Express,1-25,5261
10408,Denise Hoffman,Bovenden,,DE,37120,Denise.A.hoffman@spambob.com,433-971-3885,0,NE367,IT,111-128-943,4529147282673340,Diners Club,1-25,6534
10080,Christopher Griffith,Alma,MI,US,48801,Christopher.A.griffith@mailinator.com,569-132-4505,120,RP121,IT,912-503-378,4165711378591690,American Express,1-25,2012
10081,Ruby Schmitz,Almenara,,ES,12590,Ruby.J.schmitz@trashymail.com,388-388-8101,2550,NW115,FR,576-515-596,4977590459788640,VISA,1-25,7932
10082,Mary Tracy,Alpena,MI,US,49707,Mary.F.tracy@pookmail.com,919-617-9035,298.83,NC424,UK,211-910-843,4290298824600570,American Express,1-25,8136
10083,Linda Cook,Alpo,VR,IT,37060,Linda.J.cook@mailinator.com,118-236-6604,0,SE268,U.S.,224-679-471,4030148600239660,American Express,1-25,1133
10084,Derek Johnson,Orlando,FL,US,32701,Derek.B.johnson@spambob.com,701-840-8683,5231,SE337,IT,191-795-470,4356567326832720,Discover,1-25,6847
10395,Matt Quijano,Braintree,MA,US,2215,Matt.J.quijano@spambob.com,473-471-5442,853.3,SE205,U.S.,312-915-501,4988396087525610,VISA,1-25,4355
10085,Robin Gay,Altamura,BA,IT,70022,Robin.J.gay@spambob.com,335-106-5445,904.86,WE286,FR,775-617-725,4549228214759510,Discover,1-25,4021
10087,Derek Love,Altoona,PA,US,16601,Derek.I.love@dodgeit.com,597-894-9981,492,SW277,CA,867-470-614,4482531715844480,American Express,1-25,23
10088,Daniel Carr,Alva,QLD,AU,4807,Daniel.D.carr@trashymail.com,764-720-6575,853.3,NC232,IT,645-803-408,4137236000596660,Diners Club,1-25,7932
10089,James Lau,Alvito,FR,IT,3041,James.B.lau@dodgeit.com,459-558-3406,568.3,RP385,IT,929-502-415,4884148836938220,VISA,1-25,6814
10091,Quinn Gentry,Amarillo,TX,US,79109,Quinn.S.gentry@spambob.com,164-535-8185,6000.28,SC322,IT,542-622-113,4687672541034410,American Express,1-25,2365
10092,Joe Owens,Amiens,,FR,80080,Joe.L.owens@trashymail.com,704-507-5244,18735.7,NC364,IT,261-573-625,4802676188902430,Diners Club,1-25,8397
10093,Mark Cantu,Amiens,,FR,80090,Mark.L.cantu@spambob.com,131-482-7053,904.86,NC292,FR,459-423-312,4253747251696970,Discover,1-25,5785
10094,William Sanchez,Amiens,,FR,80090,William.P.sanchez@mailinator.com,546-630-6861,492,SE397,IT,186-175-254,4810268498571600,VISA,1-25,1709
10095,Kristin Fowler,San Diego,CA,US,92805,Kristin.T.fowler@spambob.com,511-852-7035,486,WE154,FR,392-136-361,4109824526195290,Diners Club,1-25,4236
10357,Lori Barnes,Boambee,NSW,AU,2450,Lori.W.barnes@pookmail.com,446-333-8358,0,NE304,CA,913-356-843,4534664391108980,Discover,1-25,3912
10096,Jennifer Whitney,Anaheim,CA,US,92804,Jennifer.whitney@mailinator.com,431-568-9450,486,SC127,UK,339-653-315,4232433226495910,American Express,1-25,8124
10097,Isaac Farmer,Sacramento,CA,US,92805,Isaac.Farmer@mailinator.com,173-790-7370,853.3,WE286,FR,861-819-749,4486901789793010,Diners Club,1-25,2326
10098,Mimi Barnes,Anchorage,AK,US,99501,Mimi.Barnes@dodgeit.com,471-246-2534,120,WE286,IT,558-947-717,4240505389897630,Diners Club,1-25,5678
10099,Michael Mendoza,Ancona,AN,IT,60123,Michael.Mendoza@dodgeit.com,688-784-6637,673,RP385,U.S.,226-429-972,4579854441354760,Diners Club,1-25,8785
10100,Mariana Cook,Ancona,AN,IT,60126,Mariana.Cook@dodgeit.com,340-506-5655,863.9,RP319,UK,385-329-458,4029068268195690,American Express,1-25,3598
10101,Suzanne Bolger,Andonno,CN,IT,12010,Suzanne.M.Bolger@trashymail.com,692-714-6930,9095.04,SC256,CA,728-589-848,4457687749815640,American Express,1-25,4199
10102,Evelyn Conner,Andria,BA,IT,70031,Evelyn.R.Conner@mailinator.com,845-679-3051,904.86,SE208,UK,505-673-311,4676982262647220,American Express,1-25,3964
10103,Phyllis Jusinno,Angas Plains,SA,AU,5255,Phyllis.J.Tusinno@pookmail.com,208-928-9277,90.3,WE151,IT,284-197-273,4260616127569540,American Express,1-25,6360
10104,Mary Perl,Angers,,FR,49100,Mary.T.Perl@pookmail.com,856-840-1685,0,SW343,ES,680-525-707,4912610685548670,American Express,1-25,8815
10105,Ronald York,Clayton,LA,US,70426,Ronald.L.York@pookmail.com,200-633-3596,18735.7,SC322,U.S.,442-299-933,4781050354197770,American Express,1-25,7851
10106,Cheri Daryn,Laguna,QC,CA,J0Z 1A0,Cheri.Daryn@trashymail.com,746-568-4746,304,NC169,ES,528-293-359,4327035610434280,American Express,1-25,1239
10107,Katherine Williams,Bakersfield,CA,US,94508,Katherine.W.Williams@spambob.com,961-834-5390,6000.28,NC424,ES,894-711-587,4690075863610550,Diners Club,1-25,1656
10108,Norma Misawa,Ann Arbor,MI,US,48108,nmisawa@trashymail.com,406-630-1559,52,NE307,CA,851-613-458,4032595776736140,Diners Club,1-25,1567
